CVE_ENT,CODIGO,ID_ESTRATO,Unidades_Economicas
01,21,0 a 5 personas,4
01,21,6 a 10 personas,3
01,22,0 a 5 personas,42
01,22,6 a 10 personas,8
01,23,0 a 5 personas,245
01,23,6 a 10 personas,74
01,31,0 a 5 personas,2054
01,31,6 a 10 personas,320
01,32,0 a 5 personas,1026
01,32,6 a 10 personas,123
01,33,0 a 5 personas,1410
01,33,6 a 10 personas,188
01,43,0 a 5 personas,1499
01,43,6 a 10 personas,390
01,46,0 a 5 personas,20871
01,46,6 a 10 personas,1175
01,48,0 a 5 personas,179
01,48,6 a 10 personas,64
01,49,0 a 5 personas,61
01,49,6 a 10 personas,9
01,51,0 a 5 personas,144
01,51,6 a 10 personas,27
01,52,0 a 5 personas,906
01,52,6 a 10 personas,178
01,53,0 a 5 personas,987
01,53,6 a 10 personas,93
01,54,0 a 5 personas,1240
01,54,6 a 10 personas,235
01,55,0 a 5 personas,1
01,55,6 a 10 personas,2
01,56,0 a 5 personas,852
01,56,6 a 10 personas,96
01,61,0 a 5 personas,419
01,61,6 a 10 personas,309
01,62,0 a 5 personas,2825
01,62,6 a 10 personas,243
01,71,0 a 5 personas,596
01,71,6 a 10 personas,91
01,72,0 a 5 personas,7689
01,72,6 a 10 personas,743
01,81,0 a 5 personas,8636
01,81,6 a 10 personas,459
02,21,0 a 5 personas,19
02,21,6 a 10 personas,14
02,22,0 a 5 personas,69
02,22,6 a 10 personas,17
02,23,0 a 5 personas,376
02,23,6 a 10 personas,143
02,31,0 a 5 personas,2999
02,31,6 a 10 personas,450
02,32,0 a 5 personas,1205
02,32,6 a 10 personas,186
02,33,0 a 5 personas,1662
02,33,6 a 10 personas,263
02,43,0 a 5 personas,2177
02,43,6 a 10 personas,740
02,46,0 a 5 personas,37124
02,46,6 a 10 personas,3697
02,48,0 a 5 personas,706
02,48,6 a 10 personas,205
02,49,0 a 5 personas,126
02,49,6 a 10 personas,34
02,51,0 a 5 personas,309
02,51,6 a 10 personas,73
02,52,0 a 5 personas,3789
02,52,6 a 10 personas,496
02,53,0 a 5 personas,2002
02,53,6 a 10 personas,252
02,54,0 a 5 personas,3056
02,54,6 a 10 personas,492
02,55,0 a 5 personas,4
02,56,0 a 5 personas,1303
02,56,6 a 10 personas,213
02,61,0 a 5 personas,1206
02,61,6 a 10 personas,889
02,62,0 a 5 personas,6530
02,62,6 a 10 personas,770
02,71,0 a 5 personas,1024
02,71,6 a 10 personas,173
02,72,0 a 5 personas,10931
02,72,6 a 10 personas,2069
02,81,0 a 5 personas,21256
02,81,6 a 10 personas,1674
03,21,0 a 5 personas,17
03,21,6 a 10 personas,8
03,22,0 a 5 personas,45
03,22,6 a 10 personas,19
03,23,0 a 5 personas,229
03,23,6 a 10 personas,78
03,31,0 a 5 personas,1233
03,31,6 a 10 personas,185
03,32,0 a 5 personas,486
03,32,6 a 10 personas,60
03,33,0 a 5 personas,703
03,33,6 a 10 personas,51
03,43,0 a 5 personas,601
03,43,6 a 10 personas,196
